"Iceland, Republic Of",BIKF,TOBSI,N 64 20 7.38,W 23 25 50.71
Norway,ENGM,GM608,N 59 58 0,E 11 30 0
United States Of America,KJFK,CHANT,N 40 18 58.29,W 73 45 24.99
Spanish State,LEBL,RULOS,N 41 10 38.2,E 2 16 53.3
Spanish State,LEMG,XILVI,N 36 36 51.7,W 4 6 1.1
French Republic,LFMN,NERAS,N 43 24 56.7,E 7 49 27.4
Italian Republic,LIMF,SIRLO,N 45 9 16,E 7 59 34
"Israel, State Of",LLBG,DEENA,N 32 1 35,E 34 38 26
"Israel, State Of",LLBG,PURLA,N 32 2 56,E 34 13 47
"Austria, Republic Of",LOWI,WI002,N 47 22 36.01,E 11 49 30.01
"Austria, Republic Of",LOWI,WI103,N 47 16 16.49,E 11 26 47.56
"Austria, Republic Of",LOWI,WI005,N 47 15 8.72,E 11 16 6.82
"Austria, Republic Of",LOWI,WI006,N 47 18 20.4,E 11 5 9.8
"Austria, Republic Of",LOWI,WI007,N 47 19 12.18,E 10 58 59.94
"Austria, Republic Of",LOWI,WI008,N 47 16 38.56,E 10 59 21.62
"Switzerland, Swiss Confideration",LSZH,AMIKI,N 47 34 26,E 9 2 15
"Switzerland, Swiss Confideration",LSZH,GIPOL,N 47 30 19,E 8 2 27
"Turkey, Republic Of",LTAI,ASPAR,N 36 44 40,E 30 47 18
"Turkey, Republic Of",LTBA,BA012,N 41 16 47.13,E 28 47 49.8
Serbia and Montenegro,LYTV,LASTI,N 42 6 1.6,E 18 53 6.3
"Lebanon, Lebanese Republic",OLBA,BYBLO,N 34 8 27.5,E 35 28 2.9
"Lebanon, Lebanese Republic",OLBA,RAMLA,N 33 34 56.014,E 35 18 51.461
"Korea, Republic Of",RKSI,RONJI,N 37 27 47,E 126 13 29
Kyrgyz Republic,UCFM,KALIN,N 43 19 42,E 74 12 0
Russian Federation,UHSS,D217H,N 46 42 28,E 142 37 18
Russian Federation,UHWW,VATIS,N 42 51 43,E 132 8 51
Russian Federation,UIUU,TOLGO,N 51 35 0,E 107 3 12
"Belarus, Republic Of",UMMS,UDVUD,N 53 47 8,E 28 23 50
Russian Federation,UUDD,RAPAG,N 55 17 02,E 38 13 59
Russian Federation,UUEE,EE252,N 55 59 57.93,E 37 35 9.85
Russian Federation,UUEE,GOPER,N 56 0 55,E 37 0 0
Russian Federation,UUEE,EE251,N 55 59 49.6,E 37 35 16.78
Russian Federation,UUEE,EE071,N 55 56 43.85,E 37 14 33.23
Russian Federation,UUEE,TALUK,N 56 5 54,E 37 41 40
Russian Federation,UUEE,EE072,N 55 56 53.47,E 37 14 34.74
